ds,world,china,us,italy,korea,germany,france,japan,iran,uk
2020-01-22,28,28,0,0,0,0,0,0,0,0
2020-01-23,30,30,0,0,0,0,0,0,0,0
2020-01-24,36,36,0,0,0,0,0,0,0,0
2020-01-25,39,39,0,0,0,0,0,0,0,0
2020-01-26,52,49,0,0,0,0,0,1,0,0
2020-01-27,61,58,0,0,0,0,0,1,0,0
2020-01-28,107,101,0,0,0,0,0,1,0,0
2020-01-29,126,120,0,0,0,0,0,1,0,0
2020-01-30,143,135,0,0,0,0,0,1,0,0
2020-01-31,222,214,0,0,0,0,0,1,0,0
2020-02-01,284,275,0,0,0,0,0,1,0,0
2020-02-02,472,463,0,0,0,0,0,1,0,0
2020-02-03,623,614,0,0,0,0,0,1,0,0
2020-02-04,852,843,0,0,0,0,0,1,0,0
2020-02-05,1124,1115,0,0,0,0,0,1,0,0
2020-02-06,1487,1476,0,0,0,0,0,1,0,0
2020-02-07,2011,1998,0,0,1,0,0,1,0,0
2020-02-08,2616,2595,0,0,1,0,0,1,0,0
2020-02-09,3244,3218,3,0,3,0,0,1,0,0
2020-02-10,3946,3917,3,0,3,0,0,4,0,0
2020-02-11,4683,4635,3,0,3,0,0,9,0,0
2020-02-12,5150,5079,3,0,7,0,2,9,0,1
2020-02-13,6295,6213,3,0,7,1,2,9,0,1
2020-02-14,8058,7973,3,0,7,1,2,9,0,1
2020-02-15,9395,9294,3,0,9,1,4,12,0,1
2020-02-16,10865,10748,3,0,9,1,4,12,0,8
2020-02-17,12583,12455,3,0,10,1,4,12,0,8
2020-02-18,14352,14199,3,0,12,12,4,13,0,8
2020-02-19,16121,15952,3,0,12,12,4,18,0,8
2020-02-20,18177,18002,3,0,16,12,4,18,0,8
2020-02-21,18890,18693,5,0,16,14,4,22,0,8
2020-02-22,22886,22687,5,1,16,14,4,22,0,8
2020-02-23,23394,23170,5,2,18,14,4,22,0,8
2020-02-24,25227,24990,5,1,18,14,4,22,0,8
2020-02-25,27905,27650,6,1,22,14,11,22,0,8
2020-02-26,30384,30053,6,3,22,15,11,22,49,8
2020-02-27,33277,32898,6,45,22,16,11,22,49,8
2020-02-28,36711,36291,7,46,22,16,11,22,73,8
2020-02-29,39782,39279,7,46,27,16,12,32,123,8
2020-03-01,42716,42118,7,83,30,16,12,32,175,8
2020-03-02,45602,44810,7,149,30,16,12,32,291,8
2020-03-03,48229,47404,8,160,30,16,12,43,291,8
2020-03-04,51171,49955,8,276,41,16,12,43,552,8
2020-03-05,53797,52240,8,414,41,16,12,43,739,8
2020-03-06,55866,53888,8,523,135,17,12,46,913,8
2020-03-07,58359,55478,8,589,135,18,12,76,1669,18
2020-03-08,60695,57320,8,622,118,18,12,76,2134,18
