,date,world,china,us,italy,korea,germany,france,japan,iran,uk
42,2020-03-04,94986.09968128543,79719.91391597834,166.47361063868522,3150.976824335676,5606.326785921443,316.21024390840915,323.96766473315984,329.2334917028357,2969.108301296075,84.68885317418359
43,2020-03-05,98916.37372346206,81076.96598201385,243.70054076049777,4057.12553279806,6077.516814130203,492.17081612203214,494.1703353476352,371.5103941760843,3811.394671655374,125.40372334302205
44,2020-03-06,101761.33492000471,81206.71883589988,322.4990906796068,4966.534407738647,6523.882224042233,660.2652680836264,690.8008313117148,415.2015604468782,4750.622424449838,169.33090102303717
45,2020-03-07,105643.60766941894,80574.10693422126,410.72671619396704,5946.80167041786,6995.843144517508,824.2176853112433,894.5742116256765,458.26523381337483,5675.705156261962,211.94267682403643
46,2020-03-08,109562.51022632391,80826.6638101149,496.5254707301068,7004.08687997258,7401.855104493666,1007.0240944468541,1078.3460728734424,502.4724050701016,6539.23905018289,259.353924425123
47,2020-03-09,113032.4852900771,80740.42568341405,575.4889300252438,7886.600739691764,7850.607526422257,1170.9689220314299,1260.4688142878745,542.0410788593026,7413.937351444235,301.20083944076526
48,2020-03-10,116827.19156372418,81194.93301061595,657.1941993493517,8834.60229139481,8320.044359923122,1341.975746068417,1443.0143123479922,582.2005070475916,8346.643781245624,344.837738764368
49,2020-03-11,119341.46497006001,81006.03642637991,729.3668496640381,9690.711905121201,8755.376291053879,1492.9115501698625,1607.5260479484534,620.9506241669123,9167.99213323165,385.48395867071423
50,2020-03-12,123271.73901223754,82363.0889671064,806.5937797858569,10596.860613583684,9226.566319262642,1668.8721223835107,1777.728718562943,663.2275266401647,10010.278503591038,426.1988288395566
51,2020-03-13,126116.7002087818,82492.84182099262,885.392329704981,11506.269488524425,9672.931729174714,1836.9665743451217,1974.3592145270436,706.9186929109612,10949.506256385586,470.1260065195744
